,Junction,Gene,MSIstatus,bp,GCcontent
0,J1,G1,MSI-H,1,0.5652173913043478
1,J1,G1,MSI-H,3,0.5615942028985504
2,J1,G1,MSI-H,5,0.5347826086956521
3,J1,G1,MSI-H,7,0.5357142857142859
4,J1,G1,MSI-H,9,0.5386473429951694
5,J1,G1,MSI-H,11,0.541501976284585
6,J1,G1,MSI-H,13,0.5392976588628764
7,J1,G1,MSI-H,15,0.5413043478260873
8,J1,G1,MSI-H,17,0.5447570332480821
9,J1,G1,MSI-H,19,0.5469107551487413
10,J1,G1,MSI-H,21,0.5465838509316774
11,J1,G1,MSI-H,23,0.5411153119092625
12,J1,G1,MSI-H,25,0.5460869565217392
13,J1,G1,MSI-H,27,0.5398550724637682
14,J1,G1,MSI-H,29,0.5408545727136432
15,J1,G1,MSI-H,31,0.5396213183730713
16,J1,G1,MSI-H,33,0.5388669301712783
17,J1,G1,MSI-H,35,0.5419254658385093
18,J1,G1,MSI-H,37,0.5449471210340775
19,J1,G1,MSI-H,39,0.5426421404682276
20,J1,G1,MSI-H,41,0.5442735949098624
21,J1,G1,MSI-H,43,0.5419615773508594
22,J1,G1,MSI-H,45,0.5454106280193239
23,J1,G1,MSI-H,47,0.5481036077705828
24,J1,G1,MSI-H,49,0.5499112688553681
25,J1,G1,MSI-H,51,0.5496589940323957
26,J1,G1,MSI-H,53,0.5504511894995898
27,J1,G1,MSI-H,55,0.5505928853754939
28,J1,G1,MSI-H,57,0.5499618611746762
29,J1,G1,MSI-H,59,0.5480840088430363
30,J1,G1,MSI-H,61,0.5495367070563077
31,J1,G1,MSI-H,63,0.5521048999309872
32,J1,G1,MSI-H,65,0.5503344481605353
33,J1,G1,MSI-H,67,0.549805321219987
34,J1,G1,MSI-H,69,0.5500945179584121
35,J1,G1,MSI-H,71,0.5506736068585424
36,J1,G1,MSI-H,73,0.5476474091721262
37,J1,G1,MSI-H,75,0.5478260869565217
38,J1,G1,MSI-H,77,0.5487012987012986
39,J1,G1,MSI-H,79,0.5473307649972485
40,J1,G1,MSI-H,81,0.5483091787439612
41,J1,G1,MSI-H,83,0.5479308538501835
42,J1,G1,MSI-H,85,0.5487212276214836
43,J1,G1,MSI-H,87,0.5484757621189406
44,J1,G1,MSI-H,89,0.5487298485588666
45,J1,G1,MSI-H,91,0.5486144290492121
46,J1,G1,MSI-H,93,0.5483870967741935
47,J1,G1,MSI-H,95,0.5482837528604121
48,J1,G1,MSI-H,97,0.5491931869116992
49,J1,G1,MSI-H,99,0.5492973210364519
50,J1,G1,MSS,1,0.4304635761589404
51,J1,G1,MSS,3,0.48123620309050785
52,J1,G1,MSS,5,0.49139072847682114
53,J1,G1,MSS,7,0.49479659413434274
54,J1,G1,MSS,9,0.48565121412803547
55,J1,G1,MSS,11,0.48645394340758596
56,J1,G1,MSS,13,0.4880285277636271
57,J1,G1,MSS,15,0.4830022075055191
58,J1,G1,MSS,17,0.474873393065836
59,J1,G1,MSS,19,0.47089578250261427
60,J1,G1,MSS,21,0.4733522548092085
61,J1,G1,MSS,23,0.47307803052116326
62,J1,G1,MSS,25,0.4725827814569539
63,J1,G1,MSS,27,0.4714250674515578
64,J1,G1,MSS,29,0.4733957524548979
65,J1,G1,MSS,31,0.4719077120273443
66,J1,G1,MSS,33,0.4703993578165764
67,J1,G1,MSS,35,0.4698202459791867
68,J1,G1,MSS,37,0.469482727760874
69,J1,G1,MSS,39,0.4718967566649691
70,J1,G1,MSS,41,0.47165239864319164
71,J1,G1,MSS,43,0.47358693978130295
72,J1,G1,MSS,45,0.4715231788079473
73,J1,G1,MSS,47,0.47259405382556036
74,J1,G1,MSS,49,0.4718205162859845
75,J1,G1,MSS,51,0.47331515387612005
76,J1,G1,MSS,53,0.4731975509184055
77,J1,G1,MSS,55,0.4726068633353405
78,J1,G1,MSS,57,0.4715928895085394
79,J1,G1,MSS,59,0.4726680884498818
80,J1,G1,MSS,61,0.47171859732928023
81,J1,G1,MSS,63,0.4707242720487756
82,J1,G1,MSS,65,0.4707080998471728
83,J1,G1,MSS,67,0.471879015518434
84,J1,G1,MSS,69,0.4725981380170842
85,J1,G1,MSS,71,0.4733700214532223
86,J1,G1,MSS,73,0.47337385466751347
87,J1,G1,MSS,75,0.4746136865342159
88,J1,G1,MSS,77,0.47406897738023585
89,J1,G1,MSS,79,0.4747254589655464
90,J1,G1,MSS,81,0.4736325729703213
91,J1,G1,MSS,83,0.47323067102848493
92,J1,G1,MSS,85,0.4732372419166345
93,J1,G1,MSS,87,0.47430920301438684
94,J1,G1,MSS,89,0.4751097551901184
95,J1,G1,MSS,91,0.47354632122844076
96,J1,G1,MSS,93,0.4741864274015524
97,J1,G1,MSS,95,0.4740327640292784
98,J1,G1,MSS,97,0.4749095377893088
99,J1,G1,MSS,99,0.47441300421432875
100,J1,G2,MSI-H,1,0.4891304347826087
101,J1,G2,MSI-H,3,0.5
102,J1,G2,MSI-H,5,0.4826086956521739
103,J1,G2,MSI-H,7,0.48602484472049684
104,J1,G2,MSI-H,9,0.4927536231884059
105,J1,G2,MSI-H,11,0.4861660079051385
106,J1,G2,MSI-H,13,0.4832775919732441
107,J1,G2,MSI-H,15,0.4753623188405795
108,J1,G2,MSI-H,17,0.47698209718670087
109,J1,G2,MSI-H,19,0.47768878718535496
110,J1,G2,MSI-H,21,0.48447204968944096
111,J1,G2,MSI-H,23,0.48109640831758016
112,J1,G2,MSI-H,25,0.477391304347826
113,J1,G2,MSI-H,27,0.47302737520128846
114,J1,G2,MSI-H,29,0.4737631184407795
115,J1,G2,MSI-H,31,0.47300140252454387
116,J1,G2,MSI-H,33,0.47529644268774723
117,J1,G2,MSI-H,35,0.47577639751552764
118,J1,G2,MSI-H,37,0.4747356051703878
119,J1,G2,MSI-H,39,0.4774247491638795
120,J1,G2,MSI-H,41,0.4782608695652176
121,J1,G2,MSI-H,43,0.4759858442871586
122,J1,G2,MSI-H,45,0.4743961352657001
123,J1,G2,MSI-H,47,0.47617946345975953
124,J1,G2,MSI-H,49,0.4767080745341616
125,J1,G2,MSI-H,51,0.47485080988917294
126,J1,G2,MSI-H,53,0.47518457752255966
127,J1,G2,MSI-H,55,0.47391304347826096
128,J1,G2,MSI-H,57,0.4725400457665906
129,J1,G2,MSI-H,59,0.47476050110537965
130,J1,G2,MSI-H,61,0.4734497505345686
131,J1,G2,MSI-H,63,0.47325741890959255
132,J1,G2,MSI-H,65,0.4739130434782606
133,J1,G2,MSI-H,67,0.47371836469824796
134,J1,G2,MSI-H,69,0.4736925015752996
135,J1,G2,MSI-H,71,0.47290263319044695
136,J1,G2,MSI-H,73,0.47409172126265636
137,J1,G2,MSI-H,75,0.4740579710144927
138,J1,G2,MSI-H,77,0.47388481084133266
139,J1,G2,MSI-H,79,0.47385800770500813
140,J1,G2,MSI-H,81,0.4745034889962425
141,J1,G2,MSI-H,83,0.47485594552121524
142,J1,G2,MSI-H,85,0.47544757033248075
143,J1,G2,MSI-H,87,0.47476261869065484
144,J1,G2,MSI-H,89,0.4738641914997558
145,J1,G2,MSI-H,91,0.4732441471571905
146,J1,G2,MSI-H,93,0.47276764843384755
147,J1,G2,MSI-H,95,0.4715102974828375
148,J1,G2,MSI-H,97,0.470192738682205
149,J1,G2,MSI-H,99,0.4707949055775142
150,J1,G2,MSS,1,0.37748344370860926
151,J1,G2,MSS,3,0.4083885209713025
152,J1,G2,MSS,5,0.41986754966887435
153,J1,G2,MSS,7,0.4228949858088932
154,J1,G2,MSS,9,0.4319352465047829
155,J1,G2,MSS,11,0.42925948223961496
156,J1,G2,MSS,13,0.43097300050942466
157,J1,G2,MSS,15,0.4348785871964681
158,J1,G2,MSS,17,0.4320218153486559
159,J1,G2,MSS,19,0.4315092366678284
160,J1,G2,MSS,21,0.4301482182276884
161,J1,G2,MSS,23,0.42988770515404545
162,J1,G2,MSS,25,0.4286092715231787
163,J1,G2,MSS,27,0.42604856512141276
164,J1,G2,MSS,29,0.4263530486412422
165,J1,G2,MSS,31,0.42661824396496484
166,J1,G2,MSS,33,0.4270519767208511
167,J1,G2,MSS,35,0.4274361400189215
168,J1,G2,MSS,37,0.4250939681403261
169,J1,G2,MSS,39,0.426048565121413
170,J1,G2,MSS,41,0.4257793571313197
171,J1,G2,MSS,43,0.4255351917449562
172,J1,G2,MSS,45,0.4239882266372334
173,J1,G2,MSS,47,0.4242637734253913
174,J1,G2,MSS,49,0.42465197999729665
175,J1,G2,MSS,51,0.4239709128684586
176,J1,G2,MSS,53,0.4249656378857931
177,J1,G2,MSS,55,0.4258880192655029
178,J1,G2,MSS,57,0.42616474962240053
179,J1,G2,MSS,59,0.42709619485913125
180,J1,G2,MSS,61,0.4254695472804257
181,J1,G2,MSS,63,0.42667928098391655
182,J1,G2,MSS,65,0.42679572083545586
183,J1,G2,MSS,67,0.42700405258475826
184,J1,G2,MSS,69,0.42758422113446604
185,J1,G2,MSS,71,0.42878462829959896
186,J1,G2,MSS,73,0.42846774925156467
187,J1,G2,MSS,75,0.42949227373068416
188,J1,G2,MSS,77,0.4285714285714287
189,J1,G2,MSS,79,0.4282001844245116
190,J1,G2,MSS,81,0.4277655138582291
191,J1,G2,MSS,83,0.42806989547594376
192,J1,G2,MSS,85,0.4271133619010519
193,J1,G2,MSS,87,0.42757098272055993
194,J1,G2,MSS,89,0.4268918818364464
195,J1,G2,MSS,91,0.4263154064478568
196,J1,G2,MSS,93,0.42533646656697255
197,J1,G2,MSS,95,0.4255838271174627
198,J1,G2,MSS,97,0.42527480030040304
199,J1,G2,MSS,99,0.4254465181617504
200,J2,G1,MSI-H,1,0.5106382978723404
201,J2,G1,MSI-H,3,0.5177304964539008
202,J2,G1,MSI-H,5,0.5106382978723404
203,J2,G1,MSI-H,7,0.5531914893617019
204,J2,G1,MSI-H,9,0.5602836879432623
205,J2,G1,MSI-H,11,0.5609284332688588
206,J2,G1,MSI-H,13,0.5597381342062193
207,J2,G1,MSI-H,15,0.5546099290780142
208,J2,G1,MSI-H,17,0.5569461827284106
209,J2,G1,MSI-H,19,0.5520716685330348
210,J2,G1,MSI-H,21,0.5511651469098277
211,J2,G1,MSI-H,23,0.553191489361702
212,J2,G1,MSI-H,25,0.5565957446808513
213,J2,G1,MSI-H,27,0.5539795114263198
214,J2,G1,MSI-H,29,0.5509904622157008
215,J2,G1,MSI-H,31,0.5511324639670556
216,J2,G1,MSI-H,33,0.5506125080593164
217,J2,G1,MSI-H,35,0.5507598784194527
218,J2,G1,MSI-H,37,0.5526164462334675
219,J2,G1,MSI-H,39,0.5531914893617019
220,J2,G1,MSI-H,41,0.5573430202387131
221,J2,G1,MSI-H,43,0.5531914893617021
222,J2,G1,MSI-H,45,0.5517730496453899
223,J2,G1,MSI-H,47,0.5468537799909459
224,J2,G1,MSI-H,49,0.5497177594442032
225,J2,G1,MSI-H,51,0.5477680433875676
226,J2,G1,MSI-H,53,0.5471698113207546
227,J2,G1,MSI-H,55,0.5473887814313347
228,J2,G1,MSI-H,57,0.5479656588279208
229,J2,G1,MSI-H,59,0.5477821853588172
230,J2,G1,MSI-H,61,0.5490059295430766
231,J2,G1,MSI-H,63,0.5467747382640997
