deidentifiedSpecimenName,AA+TT,AC+GT,AG+CT,AT+AT,CA+TG,CC+GG,CG+CG,GA+TC,GC+GC,TA+TA,MSIstatus
XRN:6SJTT7,19,8,14,14,12,8,2,15,6,8,MSI-H
XRN:DNF6WD,14,12,16,12,15,7,2,15,6,10,MSS
XRN:AFAEVN,8,9,17,8,15,12,6,12,18,8,MSI-H
XRN:MPPMPA,7,13,19,8,18,10,2,13,12,8,MSI-H
XRN:30NP36,8,11,13,10,14,15,8,12,14,8,MSI-H
XRN:JPE87T,7,6,17,8,19,18,4,14,20,0,MSI-H
XRN:XQRHSE,6,10,12,10,19,22,6,14,14,0,MSI-H
XRN:QVAKVU,10,10,12,12,13,16,6,11,10,10,MSI-H
XRN:QQXUME,6,12,17,6,17,16,0,8,14,10,MSI-H
XRN:1KPTFL,18,9,15,10,12,9,2,10,10,10,MSI-H
XRN:BJ8PSW,7,13,18,6,19,13,2,12,14,4,MSI-H
XRN:F9ARJF,11,10,16,14,14,12,2,14,8,10,MSI-H
XRN:W6BMCA,9,9,20,4,12,15,6,10,18,10,MSI-H
XRN:S49FUX,10,8,18,16,14,9,4,16,10,12,MSI-H
XRN:9JPLTH,10,8,12,12,20,16,0,12,12,0,MSI-H
XRN:CLF17N,14,6,16,12,8,13,2,13,8,14,MSI-H
XRN:B7E8A3,14,8,14,14,12,9,4,15,8,8,MSI-H
XRN:245RH8,5,7,23,6,12,15,4,17,14,8,MSI-H
XRN:J967F9,10,6,21,10,13,13,2,17,12,8,MSI-H
XRN:XYCJ93,4,13,14,8,24,18,2,11,14,0,MSI-H
XRN:2PVSC7,12,9,13,12,14,15,4,15,6,4,MSI-H
XRN:X6J96S,4,10,18,8,13,18,4,17,8,6,MSI-H
XRN:2XSYVT,4,11,20,4,18,14,4,16,16,2,MSI-H
XRN:SLXMB3,9,11,18,4,17,15,4,15,12,2,MSI-H
XRN:AW746M,11,10,18,2,12,13,8,14,14,4,MSI-H
XRN:79DRDU,10,10,16,10,13,16,0,11,6,12,MSI-H
XRN:0LPP0J,2,6,21,8,15,17,6,16,20,4,MSI-H
XRN:W01KL5,5,10,15,10,17,14,4,15,12,4,MSI-H
XRN:R1V1DT,1,11,16,6,19,16,6,10,22,4,MSI-H
XRN:QJ8FJ0,5,10,20,2,16,17,6,13,18,4,MSI-H
XRN:K19WRF,6,8,20,6,15,14,4,17,14,2,MSI-H
XRN:JPEWCE,15,5,14,12,12,13,4,10,14,8,MSI-H
XRN:EAY8VA,14,14,17,8,16,6,0,12,6,12,MSI-H
XRN:9VM7TP,16,10,17,10,14,6,0,12,8,12,MSI-H
XRN:TBQ8K6,7,13,18,4,17,13,2,8,16,8,MSI-H
XRN:CJSFA7,7,12,20,4,16,11,0,10,14,8,MSI-H
XRN:MSKV4V,6,10,15,10,16,13,6,11,14,8,MSI-H
XRN:VTH671,5,12,14,4,16,18,4,9,14,4,MSI-H
XRN:SV732Y,8,13,18,4,17,11,6,12,14,6,MSI-H
XRN:DVM2CN,1,27,19,0,31,9,4,15,12,0,MSI-H
XRN:NPCWVT,5,29,15,4,31,9,2,10,8,6,MSI-H
XRN:FXUJJ4,16,10,13,18,16,5,2,15,6,10,MSI-H
XRN:FUEL2G,12,12,15,10,19,10,2,10,14,8,MSI-H
XRN:RBK7DF,15,3,15,20,15,5,0,16,10,8,MSI-H
XRN:5P9VQ6,15,7,11,20,14,8,4,12,10,12,MSI-H
XRN:DTP50X,14,13,13,14,18,8,0,6,12,16,MSI-H
XRN:C7MP5D,4,6,20,4,11,20,10,17,18,2,MSI-H
XRN:HB5TCA,6,15,11,16,21,9,4,11,10,8,MSI-H
XRN:QQ2D5X,10,10,12,16,16,8,8,17,10,6,MSI-H
XRN:42UDWY,5,11,20,10,17,11,2,9,18,14,MSI-H
XRN:57B78K,4,11,19,4,14,21,2,11,14,10,MSI-H
XRN:AVWPRE,7,9,17,6,13,20,6,9,18,10,MSI-H
XRN:6DV775,8,10,15,8,16,16,4,7,18,10,MSI-H
XRN:3ML9GP,10,5,21,8,12,8,0,13,14,10,MSI-H
XRN:VXJB0J,11,8,14,8,16,14,0,7,16,6,MSI-H
XRN:NSJRNL,7,9,17,6,17,16,4,10,20,6,MSI-H
XRN:AA8WCL,9,7,20,2,14,17,4,11,22,4,MSI-H
XRN:GHG6TP,11,12,14,20,15,10,0,13,4,16,MSI-H
XRN:FH3GP5,13,11,13,16,19,7,4,14,10,6,MSI-H
XRN:BWHE0A,16,15,16,4,16,9,0,7,10,12,MSI-H
XRN:THRQJ0,8,13,16,4,19,17,0,9,12,4,MSI-H
XRN:H4XLYD,13,12,15,2,17,13,0,9,10,4,MSI-H
XRN:1D8N0Q,7,13,17,6,15,15,4,17,6,4,MSI-H
XRN:MKSR16,7,11,18,4,17,14,0,10,14,6,MSI-H
XRN:2XTWRJ,13,12,15,6,17,11,2,12,10,4,MSI-H
XRN:CA8JMU,16,12,13,10,17,8,4,5,18,12,MSI-H
XRN:LK7BEH,14,12,13,8,21,10,6,6,22,6,MSI-H
XRN:RQ15WB,12,6,17,18,12,10,2,9,16,18,MSI-H
XRN:VKLN7D,6,17,13,4,24,14,4,9,14,2,MSI-H
XRN:FN5L9T,18,8,16,14,14,6,2,14,10,10,MSI-H
XRN:AFEKSM,11,14,15,4,17,15,4,11,12,4,MSI-H
XRN:MBKYWE,13,6,15,16,15,12,0,16,8,6,MSI-H
